9 -547 987
10 -579 955
-5 -569 969
9 -596 950
-11 -590 960
14 -571 909
45 -506 878
130 -802 1142
157 -739 884
-130 -669 724
-206 -648 775
-99 -843 817
-106 -1080 968
-109 -1344 1062
8 -1481 1086
-36 -1567 1040
20 -1510 978
51 -1433 1000
62 -1475 979
45 -1367 941
48 -1390 987
162 -1355 1309
67 -1613 1336
-35 -1530 1277
9 -1276 1021
-3 -979 945
-46 -884 945
-120 -923 934
69 -868 858
-61 -772 949
339 -1136 991
7 -1166 1276
255 -1468 1274
-26 -1374 1095
148 -1249 1132
34 -1366 1075
-420 -1259 960
-95 -1128 874
-197 -917 914
-70 -884 965
-128 -841 1016
373 -952 1047
-47 -1003 1020
-24 -1022 1061
-51 -1083 998
-122 -1070 897
3 -860 935
-1 -916 1009
8 -934 879
79 -803 901
51 -1056 1088
-93 -1162 959
33 -1060 1070
-13 -1149 1081
71 -1185 1101
-66 -1089 1041
104 -988 933
11 -730 1114
12 -960 1097
-10 -1039 946
-97 -930 1004
-172 -1087 1066
70 -1127 1037
-25 -1305 1006
201 -1683 1078
-155 -735 848
161 -548 837
-53 -837 824
-3 -963 1176
-25 -1399 1263
1 -1446 1177
55 -1351 1073
-39 -1193 962
-7 -1132 945
-4 -1042 1018
-30 -994 968
46 -995 922
-65 -1026 888
19 -1024 903
3 -978 1027
35 -998 991
-33 -961 1036
1 -1102 1017
-13 -1100 1013
-39 -1188 1108
44 -1191 993
-18 -1138 994
11 -1104 1010
-2 -1109 1004
28 -1094 1045
14 -1192 1164
30 -1223 1025
20 -1513 1011
190 -1963 1244
219 -1836 1229
-144 -1572 924
-207 -979 1187
-258 -869 650
189 -57 1031
1 -401 1204
254 -485 873
61 -326 946
-4 -440 826
-219 -560 1099
-67 -835 1218
-398 -758 1009
246 -747 912
84 -644 949
36 -782 939
