 -82 -726 1021
 267 -784 1015
 -174 -724 966
 -2 -692 1015
 -27 -699 966
 7 -697 956
 13 -658 971
 -34 -673 990
 25 -710 986
 20 -708 948
 11 -670 941
 -30 -647 936
 305 -485 674
 -64 -353 801
 39 -474 717
 45 -501 724
 75 -631 698
 207 -1052 506
 145 -1130 513
 153 -1517 729
 60 -1796 883
 -107 -1806 795
 0 -1619 1218
 -345 -1819 1054
 -125 -1476 799
 150 -1027 500
 -11 -669 486
 201 -693 544
 224 -848 282
 115 -643 261
 80 -555 297
 93 -458 588
 -159 -745 373
 -179 -459 826
 -12 -933 823
 45 -857 627
 86 -759 309
 73 -182 -277
 235 778 622
 -15 -650 684
 -318 -754 487
 45 -503 297
 -5 -411 336
 21 -381 253
 9 -327 292
 -25 -381 271
 26 -393 246
 4 -439 236
 3 -377 180
 -31 -337 308
 0 -471 283
 -2 -360 306
 -49 -427 432
 -6 -516 450
 -22 -557 502
 -62 -610 624
 -16 -697 607
 -13 -695 639
 -51 -565 698
 29 -638 707
 -52 -718 718
 -24 -701 678
 108 -711 665
 -2 -699 661
 -26 -686 661
 10 -712 645
 5 -680 652
 -16 -704 678
 3 -701 654
 2 -700 654
 49 -680 634
 -57 -700 644
 20 -729 646
 18 -726 618
 8 -718 631
 46 -697 546
 -17 -640 559
 42 -591 417
 50 -460 448
 44 -410 360
 201 -533 244
 -45 -282 3
 108 -793 171
 -642 -391 800
 -211 -1167 664
 15 -913 683
 -261 -1302 898
 54 -1131 758
 -393 -913 888
 182 -1151 931
 90 -980 831
